Tim <extra_id_0> m.jin.	<extra_id_0> brzadem żëwią sã <extra_id_1>
We wspòminkach pòjawia sã nôzwëskò majora <extra_id_0> zòrganizowac grã w Szczipiornie, ale téż kaprala Antoniégò Jarząbka.	<extra_id_0> Grzmòta-Skòtnicczégò, chtërny miôł <extra_id_1>
Chciał usłyszeć <extra_id_0> przeżyć.	<extra_id_0> ich śpiew i <extra_id_1>
Każdy system cząstek dysponuje własnym zbiorem autonomicznych cząstek, <extra_id_0> pewne wspólne atrybuty.	<extra_id_0> które posiadają jednak <extra_id_1>
Dzele Aùstralëji to krezowe teritoria: Nowô Pôłniôwô Walijô, Wiktoria, Pôłniôwô Aùstralëjô, Queensland, Zôpadnô Aùstralëjô, Nordowe Teritorium, <extra_id_0> Arnhem Land.	<extra_id_0> Òstrowë Tasmanija i <extra_id_1>
Po wojnie był dziekanem Wydziału Rolniczego <extra_id_0> 1945–1947 oraz prodziekanem 1947–1948.	<extra_id_0> UJ w latach <extra_id_1>
Wciąż, na swój dziwny sposób złaknieni są większej wolności i lepszej edukacji, a zatem jestem z nimi, <extra_id_0> kupie gnoju, której na imię uniwersytet.	<extra_id_0> przeciwko tej antycznej <extra_id_1>
Wspólne ćwiczenia spadochroniarzy i pilotów szybowców <extra_id_0> wczesnej wiosny 1940.	<extra_id_0> odbywały się od <extra_id_1>
Jak na niã nie stąpi <extra_id_0> tej òna bë nie mia kąsëc.	<extra_id_0> abò nie gòrzi, <extra_id_1>
Leżi <extra_id_0> jistnym mionie.	<extra_id_0> na òstrowiu ò <extra_id_1>
Grał <extra_id_0> np.	<extra_id_0> w wielu klubach, <extra_id_1>
W ùżecé <extra_id_0> wiekù aż do òsmënôstigô.	<extra_id_0> bëła ót szesnôstegô <extra_id_1>
Drãgò <extra_id_0> wëwôrłë ksążeczczi Cénôwë na Kaszëbach, jaczi béł jejich nôkłôd ë ôrt distribùcji.	<extra_id_0> rzec jaczi efekt <extra_id_1>
Córeczkò <extra_id_0> nazôd w klin i zanies na ten sóm môl, gdze to bëło.	<extra_id_0> zbierz to wszëstkò <extra_id_1>
Kòcé <extra_id_0> bótë (Helichrysum arenarium (L.) Moench) – są roscëną z rodzëznë astrowatëch (Asteraceae).	<extra_id_0> nóżczi abò Kòcé <extra_id_1>
Altocumulus (Ac - strzédna bôłdowana blóna) zrobiona <extra_id_0> szarich fôłtów (téż légów).	<extra_id_0> z biôłëch czë <extra_id_1>
W 2014 ukazała się kontynuacja w postaci miniserii <extra_id_0> Lono).	<extra_id_0> Brat Lono (Brother <extra_id_1>
Przesłuchanie odbyło się w Edynburgu, Manchesterze, Birmingham i Londynie, a ostatnie trzy miasta zorganizowały otwarte przesłuchania pod koniec 2014 r. Wraz z Newcastle, Cardiff, <extra_id_0> i Bristol.	<extra_id_0> Portsmouth, Leeds, Norwich <extra_id_1>
Maszewskô familëjô (von Massow) chcaa dac Rumlowi tak wiôldżi plachc zemi, jaczi ùdô mù <extra_id_0> kóniu òd rena do wieczora, żebë le rojber zaprzestôł swòjégò dzejaniô.	<extra_id_0> sã przejachac na <extra_id_1>
Zielonoświątkowe pismo „Błahowistnik” <extra_id_0> zamieszcza artykuły krytycznie oceniający jego działalność.	<extra_id_0> co jaki czas <extra_id_1>
Po trzech miesiącach patowej sytuacji na froncie wschodnim w połowie lipca <extra_id_0> miasto, będące centrum przemysłu naftowego, Marsa al-Burajka.	<extra_id_0> rebelianci zaatakowali strategiczne <extra_id_1>
Singiel "UP" <extra_id_0> raperki wydanym w 2021roku.	<extra_id_0> jest pierwszym singlem <extra_id_1>
Robi <extra_id_0> spadną lëstë, tej transpiracjô spôdô do malga.	<extra_id_0> to sã, jak <extra_id_1>
Ne lëczbë pòkazywają, że je wësokô smiertelnosc tegò <extra_id_0> zakażeniów.	<extra_id_0> pòszedła, ale mało <extra_id_1>
Òstała wnenczas wërobionô nowô <extra_id_0> pòdczorchiwającô wskôzë demòkracji w państwie i dejã samòrządnoscë-krajowòscë, chtërny ùsôdzcą béł Lech Bądkòwsczi.	<extra_id_0> fòrmùła regiónalny rësznotë, <extra_id_1>
Całkowitą wartość prac <extra_id_0> zł.	<extra_id_0> oszacowano na 14.800.000 <extra_id_1>
W Nilu <extra_id_0> i żëją rzeczne zwiérze jako krokodilë i hipopotamë.	<extra_id_0> roscą papirusë, lotosë <extra_id_1>
Mòdło cechù ekòlogòwi <extra_id_0> stronie http://ec.	<extra_id_0> żëwnotë je na <extra_id_1>
Universidade Estadual de <extra_id_0> (Ùniwersytet Feira de Santana) je wôżnym môlã dlô rozwiju nôùczi òd 1976 rokù.	<extra_id_0> Feira de Santana <extra_id_1>
Posługę <extra_id_0> zawodowych duchownych.	<extra_id_0> duszpasterską zapewnia 145 <extra_id_1>
Witosława - <extra_id_0> ôrtu.	<extra_id_0> kaszëbszczé miono białgowsczégò <extra_id_1>
Niechtërne z ji wikszich szczitów to Sobaeksan (2184 m), Baeksan (1724 m), Geumgangsan (1638 m), Seoraksan <extra_id_0> (1567 m) ë Jirisan (1915 m).	<extra_id_0> (1708 m), Taebaeksan <extra_id_1>
Zëmòwô trąbka (Tubaria <extra_id_0> - to je ôrt grzëba z rodzëznë Inocybaceae.	<extra_id_0> furfuracea (Pers.) Gillet) <extra_id_1>
Je to 1758 <extra_id_0> (pò narodzenim Christusa), 758. rok drëdżégò tësąclecô, 58. rok XVIII stolatégò, 8. rok 6-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> rok naszi erë <extra_id_1>
Dzãka temù <extra_id_0> bëło òtemknienié sédmëklasowi szkòłë z trzema mieszkaniama dlô szkòlnëch.	<extra_id_0> w 1936 rokù <extra_id_1>
Nawet w szczycie sezonu ruch <extra_id_0> niewielki.	<extra_id_0> turystyczny jest tutaj <extra_id_1>
Kùńsztu wësziwkù <extra_id_0> dzéwczãta.	<extra_id_0> ùczą sã colemało <extra_id_1>
Òn béł ju baro <extra_id_0> swiece.	<extra_id_0> dôwno temù na <extra_id_1>
Pierzą <extra_id_0> na rok.	<extra_id_0> sã 2 raza <extra_id_1>
Drugi ji chłop od roku 1933 to bëł baron aùstriejskô-madziarsczi z żëdowsko rodzëzna wioldżich browarników, Raoul Kuffner, i dzãkã temù Tamara <extra_id_0> "Baronessa z pdzlem".	<extra_id_0> beła znóna jakò <extra_id_1>
We czwôrtk 7 strëmiannika 1850 r. w tigòdnikù „Szkòła Nôrodowô”, wëdôwónym w Chełmnie, òpùblikòwôł (z krótczim òdredaktorsczim wstãpã) swój słôwny <extra_id_0> Pólochov”, pòdpisëjącë gò pseùdónimã „Wójkasin”, tj.	<extra_id_0> artikel „Kaszebji do <extra_id_1>
'Horstman' – <extra_id_0> mô pòkrój tzw.	<extra_id_0> fòrma przewisającô, co <extra_id_1>
Dakôrz - rzemiãsnik, <extra_id_0> robieniém abò ùprôwianiém daków.	<extra_id_0> chteren zajimô sã <extra_id_1>
W teledysku obrazy osób, zwłaszcza kobiet, są wyświetlane <extra_id_0> Deeyah.	<extra_id_0> na nagich plecach <extra_id_1>
Wreszcie Kobong spytał: "Mysz zjada <extra_id_0> kocia miska jest rozbita.	<extra_id_0> jedzenie kota, ale <extra_id_1>
To <extra_id_0> i letczi do tresérowaniô pies.	<extra_id_0> je baro rozumni <extra_id_1>
W II swiatowi wòjnie òn béł <extra_id_0> òficérów II-C Woldenberg.	<extra_id_0> w lagrze dlô <extra_id_1>
Skeldar może operować z pokładów okrętów, nie jest jednak przeznaczony do produkcji seryjnej a jedynie ma służyć <extra_id_0> przyjętych założeń konstrukcyjnych.	<extra_id_0> sprawdzeniu w praktyce <extra_id_1>
Je to 922 rok naszi erë (pò narodzenim Christusa), 922. rok pierszégò tësąclecégò, <extra_id_0> stolatégò, 2. rok 3-égò dzesãcolecô X stolatégò.	<extra_id_0> 22. rok X <extra_id_1>
Dlô pòrównaniégò wôrt wspòmnąc, że strzédnô miesãcznô wëpłata w latach 1955 i 1956 wënôsza pòsobicą 1008 i 1118 zł <extra_id_0> ù Méstra Jana.	<extra_id_0> Słôwk Fòrmella, Zéńdzenia <extra_id_1>
Wiôldżi niesmiertelnik <extra_id_0> to je ôrt roscënë z rodzëznë grëbòszowatëch (Crassulaceae).	<extra_id_0> (Sedum maximum) – <extra_id_1>
Nos oraz kadłub wraz z drewnianymi <extra_id_0> ziemię bez spadochronu i ulegały zniszczeniu.	<extra_id_0> skrzydłami spadały na <extra_id_1>
Miôł swój styl, dobiérół <extra_id_0> rozmajiti bryłë.	<extra_id_0> jasné farwë ë <extra_id_1>
W związku z wprowadzaniem nowszych samolotów, <extra_id_0> dywizjonów stacjonujących w Wielkiej Brytanii i przekazano do dywizjonów stacjonujących w terytoriach zamorskich.	<extra_id_0> wycofano je z <extra_id_1>
Òglowo, w <extra_id_0> mòrsczégò strądù zdżinãło ë bëło renionëch kòle 5 tësãcy żôłniérzów ë dobrowólników.	<extra_id_0> biôtkach lądowi òbronë <extra_id_1>
Tam òn <extra_id_0> Wiarus.	<extra_id_0> béł redaktorã pismiona <extra_id_1>
Pòmòrskô gãs <extra_id_0> rasa domôcy gãsé.	<extra_id_0> - to je <extra_id_1>
Na dôlny starnie skrzidła wildżi biôłi plachc, na <extra_id_0> pôsk.	<extra_id_0> wiérzchny starnie przeznórtny <extra_id_1>
Ta pòezja <extra_id_0> eksperimeńtã.	<extra_id_0> je òdwôżnym artisticznym <extra_id_1>
Nie mô równak dokôzów na to, żebë <extra_id_0> Pòmòrzanów z òkrãżégò Kòszalëna w pòrénkòwim czérënkù.	<extra_id_0> doszło do wanogów <extra_id_1>
Zakończył on <extra_id_0> powodu poważnego urazu.	<extra_id_0> jednak karierę z <extra_id_1>
Gospodarka Brojc <extra_id_0> z rolniczo-leśnym charakterem regionu.	<extra_id_0> związana jest ściśle <extra_id_1>
Nen je téż zwóny "Rańską Brómą" temù jëż z <extra_id_0> ë szaséjô na Ranã.	<extra_id_0> niegò jidze bana <extra_id_1>
Od 4 grudnia <extra_id_0> 1948, był członkiem Rady Naczelnej PPS, skąd został usunięty wraz z Maciejem Weberem.	<extra_id_0> 1946 do października <extra_id_1>
Papiéż <extra_id_0> Benedictus PP.	<extra_id_0> Benedikt XVI (łac. <extra_id_1>
We wszystkich glebach występuje powierzchniowy poziom <extra_id_0> akumulacji próchnicy.	<extra_id_0> próchniczny, główne miejsce <extra_id_1>
W 1933 zakończył aplikację i został <extra_id_0> adwokatów.	<extra_id_0> wpisany na listę <extra_id_1>
Czedës tu béł majątk szlachcëca Tãpsczégò, a òn miôł wiele zemi <extra_id_0> bùdinkama.	<extra_id_0> wëpachtowòné razą z <extra_id_1>
Je to 1799 rok naszi erë (pò narodzenim Christusa), 799. rok drëdżégò tësąclecô, <extra_id_0> stolatégò, 9. rok 10-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> 99. rok XVIII <extra_id_1>
Rejina (Dahlia) – to <extra_id_0> z rodzëznë astrowatëch (Asteraceae).	<extra_id_0> je szlach roscënów <extra_id_1>
Oskowo Rozporządzenie Ministrów: Administracji Publicznej i Ziem Odzyskanych z dnia 15 marca 1947 r. o przywróceniu i ustaleniu urzędowych nazw miejscowości <extra_id_0> nr 37, poz.	<extra_id_0> (Monitor Polski 1947, <extra_id_1>
Jej występy są <extra_id_0> ponieważ Kyriaki nie lubi dużych scen.	<extra_id_0> nieliczne i rzadkie, <extra_id_1>
Karta Egiptu z gardami Stôrożëtni Egipt to bëła jedno z nôstarszich ciwilizacëji swiata, dzelona <extra_id_0> Stôre Państwò, Strzódne Państwò i Nowe Państwò.	<extra_id_0> na predinasticzni cząd, <extra_id_1>
Òpiekùją <extra_id_0> Frãcëszkanie.	<extra_id_0> sã nią òjcowie <extra_id_1>
Zwëczajnô sniegùlka <extra_id_0> to je môłi wanożny ptôch z rodzëznë Calcariidae.	<extra_id_0> (Plectrophenax nivalis) - <extra_id_1>
Lubi wëkrëwac nòwi môle <extra_id_0> niégò wiele jestkù.	<extra_id_0> gdze je dlô <extra_id_1>
Òkróm tegò badóné <extra_id_0> 2, 3 i 15. Ten slédny béł piérszim kandidatã na "winnégò disleksji".	<extra_id_0> są genë 1, <extra_id_1>
Łupk (Garrulus glandarius) <extra_id_0> rodzëznë krëkowatëch.	<extra_id_0> strzédny ptôch z <extra_id_1>
Krëjamnô <extra_id_0> Grif"	<extra_id_0> Wòjskòwô Òrganizacëjô "Pòmòrsczi <extra_id_1>
Ogółem wystąpił <extra_id_0> reprezentacyjnych, w których nie odniósł żadnej porażki.	<extra_id_0> w 10 spotkaniach <extra_id_1>
Òlszô abò <extra_id_0> - to je szlach roscënów z rodzëznë brzozowatëch.	<extra_id_0> ólszka (Alnus Mill.) <extra_id_1>
Do wybudowania ratusza siedziba gminy mieściła się w istniejącym do dziś domu <extra_id_0> rogu obecnych ulic Łagiewnickiej i Górnej.	<extra_id_0> Josefa Schaliby, na <extra_id_1>
Ùrodzył sã kòl 250 rokù <extra_id_0> Ceti, Dolnô Austriô).	<extra_id_0> w Zeiselmauer (dôwni <extra_id_1>
W 1933 poślubił <extra_id_0> (ur. 1906), córkę Wiktora, przemysłowca częstochowskiego.	<extra_id_0> Annę z Kanczewskich <extra_id_1>
Wartësłôw <extra_id_0> 1237 – ùm.	<extra_id_0> II (ùr. kòl <extra_id_1>
Pò <extra_id_0> dżiną.	<extra_id_0> tim czasu <extra_id_1>
Do <extra_id_0> 75 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Rok później zmieniła <extra_id_0> ale szalony”.	<extra_id_0> formułkę na „winny, <extra_id_1>
Chòcaż niżôdne z jej òdjimków nié òstało òpublikowónych, Norma Jean zdecydowała sã <extra_id_0> i rozpòczãc rabòtã jakno mòdelka.	<extra_id_0> òdejsc z fabryczi <extra_id_1>
Efektem kontraktu z WEA była płyta <extra_id_0> jest za punkt zwrotny w karierze zespołu.	<extra_id_0> Monosex, która uważana <extra_id_1>
Ładowarki tego typu, po zakończeniu ładowania, zazwyczaj <extra_id_0> trybu ładowania podtrzymującego, polegającego na ładowaniu niewielkim prądem, aby skompensować straty związane z samorozładowywaniem się akumulatorów.	<extra_id_0> przełączają się do <extra_id_1>
Wëdiwôjã téż platë <extra_id_0> Brothers.	<extra_id_0> jakno The Hanson <extra_id_1>
Kiedy <extra_id_0> mówi, że jest mu to obojętne, dostaje ją.	<extra_id_0> przestaje walczyć i <extra_id_1>
Katastrofa <extra_id_0> nr 90 miała też skutki długofalowe.	<extra_id_0> lotu Air Florida <extra_id_1>
Program nauczania <extra_id_0> wzorach zachodnich.	<extra_id_0> oparty był na <extra_id_1>
Eliot ukazywał w swojej liryce charakterystyczne dla nowoczesnego człowieka <extra_id_0> w świecie.	<extra_id_0> poczucie egzystencjalnego zagubienia <extra_id_1>
Tedë Majkòwsczi przecygnął do Mònachium, gdze téż <extra_id_0> spòleczné, sztudérsczé dzejanié.	<extra_id_0> włącził sã w <extra_id_1>
W <extra_id_0> béł zajãti przez Japònów.	<extra_id_0> 1592 - 1593 <extra_id_1>
Według <extra_id_0> 2004 gminę zamieszkiwało 1768 osób, 49,1 os./km².	<extra_id_0> danych na rok <extra_id_1>
To bëła stolëca <extra_id_0> państwa w dôwnëch czasach (726-1797).	<extra_id_0> Wenecczi Repùbliczi - <extra_id_1>
Błotny krokòdil (Crocodylus <extra_id_0> je ôrt gadzënë z rodzëznë krokòdilowatëch.	<extra_id_0> palustris) – to <extra_id_1>
Lingwistika <extra_id_0> jãzëkù (mòwie).	<extra_id_0> je ùczbą ò <extra_id_1>
Bukhan ("Nordowi Han"; 북한; 北韓) <extra_id_0> westrzód mieszkańców Pôłniowi Kòreji na krôj sąsadów.	<extra_id_0> to òglowé miono <extra_id_1>
Loty bojowe wykonane nad Anglią zwiększyły ogólną ilość misji przeprowadzonych przez Barkhorna do <extra_id_0> w tym czasie jednak nie uzyskał.	<extra_id_0> 38, zestrzeleń żadnych <extra_id_1>
W środku wieńca emaliowany <extra_id_0> na złocistym płomieniu gorejącej bomby.	<extra_id_0> herb Chełma, wsparty <extra_id_1>
Barbarë <extra_id_0> do 4 nôbarżi pòczestnëch i widzałëch dzewiców westrzód swiãtëch.	<extra_id_0> òstała téż zaliczonô <extra_id_1>
W jego <extra_id_0> osoba.	<extra_id_0> wyniku zginęła jedna <extra_id_1>
Wëdôwizna “Region” <extra_id_0> w 2003r.	<extra_id_0> z Gdini wëda <extra_id_1>
W 1956 był współtwórcą Biuletynu PTTK Okręgu w Łodzi (istnieje do dziś, obecnie nosi nazwę "Wędrownik" i ukazało się ponad 400 <extra_id_0> jego szaty graficznej i projektu okładki.	<extra_id_0> numerów), był autorem <extra_id_1>
W <extra_id_0> liczyła 50 tys. żołnierzy.	<extra_id_0> kwietniu 2012 WAS <extra_id_1>
Hùcułowie <extra_id_0> mùzeum.	<extra_id_0> mają tu wôżné <extra_id_1>
Pomimo to, dobrze <extra_id_0> Mikiem.	<extra_id_0> się bawił z <extra_id_1>
W Pòlsce dominëją jinstrumentë ò pneumaticzny i elektropneumaticzny trakturze, co je rezultatã zapóznieniégò <extra_id_0> XX stalatim.	<extra_id_0> pòlsczégò òrganmésterstwa w <extra_id_1>
Po wojnie pałac należał do kołchozu <extra_id_0> tu biuro i biblioteka wiejska.	<extra_id_0> Krikštėnai, znajdowały się <extra_id_1>
Pogorszył <extra_id_0> ram i podłóg.	<extra_id_0> się także wygląd <extra_id_1>
Kùkùridza <extra_id_0> je szlach roscënów z rodzëznë Poaceae.	<extra_id_0> (Zea) – to <extra_id_1>
W <extra_id_0> powiększona wersja szybowca oznaczona jako „Wrona-bis”.	<extra_id_0> 1934 roku powstała <extra_id_1>
Mają <extra_id_0> męczennicy budowę.	<extra_id_0> charakterystyczną, typową dla <extra_id_1>
Maturę uzyskała w IX <extra_id_0> Jarosława Dąbrowskiego w Łodzi.	<extra_id_0> Liceum Ogólnokształcącym im. <extra_id_1>
Tym samym radomianom brakowało tylko jednego zwycięstwa <extra_id_0> medalu.	<extra_id_0> do wywalczenia brązowego <extra_id_1>
Krëczczi wcyg <extra_id_0> kra”, abò cëchłò: „grab, grab”	<extra_id_0> głosno krzëczą: „kra, <extra_id_1>
Takô sytuacjô <extra_id_0> 2004 rokù, òbczas nadaniô miona ks.	<extra_id_0> przëtrafiła sã w <extra_id_1>
Te <extra_id_0> 801 km².	<extra_id_0> òstrowë mają wiéchrzëzną <extra_id_1>
W 1938 <extra_id_0> granicy czechosłowackiej.	<extra_id_0> pomagała przesiedleńcom z <extra_id_1>
", "Oficyny <extra_id_0> "Przeglądu Powszechnego", ponadto prowadził Teatr Wyobraźni.	<extra_id_0> Poetów", "Wiadomości" i <extra_id_1>
Pod koniec roku grupa <extra_id_0> swoim menadżerem.	<extra_id_0> rozstała się ze <extra_id_1>
Strzébro <extra_id_0> to je chemiczny pierwiôstk, metal.	<extra_id_0> (łac. argentum) – <extra_id_1>
Karno <extra_id_0> "Pomorania"	<extra_id_0> Sztudérów <extra_id_1>
Wymaga słonecznego stanowiska, <extra_id_0> gleby.	<extra_id_0> wilgotnej i przepuszczalnej <extra_id_1>
Je to 900 rok naszi erë (pò narodzenim Christusa), 900. rok pierszégò tësąclecégò, 100. rok <extra_id_0> rok 10-égò dzesãcolecô IX stolatégò.	<extra_id_0> IX stolatégò, 10. <extra_id_1>
Wymienione konflikty zrujnowały gospodarkę i przyczyniły <extra_id_0> okolicznych terenów.	<extra_id_0> się do upadku <extra_id_1>
Wtedy też doszło do starcia, które zgodnie <extra_id_0> nie trwało długo.	<extra_id_0> z przewidywaniami al-Azmy <extra_id_1>
Zbliżonym znaczeniowo polskim <extra_id_0> real.	<extra_id_0> odpowiednikiem pojęcia jest <extra_id_1>
MCCLXVII – 2004, Prace <extra_id_0> s. 94.	<extra_id_0> Historyczne, z. 131, <extra_id_1>
Renshaw awansował następnie po raz drugi z rzędu do challenge round, ale ponownie <extra_id_0> setach bratu.	<extra_id_0> uległ w pięciu <extra_id_1>
Zmarł 25 lutego <extra_id_0> chorobie w wieku 63 lat.	<extra_id_0> 2008 po ciężkiej <extra_id_1>
Żebë òbszacowac przëdatnosc gruńtów pòd las, wôrt sã przëzdrzec, jak leżą pòdług jinszich gruńtów lasowëch, jak są wiôldżé i jaczi mają sztôłt, a téż jak mògą wpłënąc <extra_id_0> co pò sąsedzkù słëchają do gbùrstwa.	<extra_id_0> na ùżëtkòwanié gruńtów, <extra_id_1>
Zawsze nosił ze sobą książki, które czytał nawet w powozie dzięki specjalnie do <extra_id_0> lampie.	<extra_id_0> tego celu zainstalowanej <extra_id_1>
Chrzescëjónie ùczą sã mòdlëtwë ód proroków, swiãtëch, a przede <extra_id_0> chtërne wg Ewanielie za żëcé wiele razy zwrôcôł sã do Bòga i przekazywôł słowa mòdlëtwë swòjim ùcznióm.	<extra_id_0> wszëtczim òd Jezusa, <extra_id_1>
Po raz pierwszy na <extra_id_0> w wieku 13 lat w Teatrze Młodego Widza w Krakowie prowadzonym przez Marię Billiżankę.	<extra_id_0> deskach teatralnych wystąpił <extra_id_1>
Wierzgùlëca (Riparia riparia) <extra_id_0> wanożny ptôch z rodzëznë jaskùleczkòwatëch.	<extra_id_0> - to je <extra_id_1>
Rëmiô robi <extra_id_0> dlô Gdini.	<extra_id_0> za mieszkaniowi slôd <extra_id_1>
Na górze <extra_id_0> twierdzy obronnej z okresu brązu.	<extra_id_0> Sánc odkryto ślady <extra_id_1>
Teatr <extra_id_0> –	<extra_id_0> Polski w Poznaniu <extra_id_1>
Naukę w nowej placówce rozpoczęło zaledwie <extra_id_0> w 5 klasach.	<extra_id_0> 139 uczniów zgrupowanych <extra_id_1>
Sniégòwi kòzeł (Oreamnos <extra_id_0> je susk z rodzëznë wòłowatëch (Bovidae).	<extra_id_0> americanus) - to <extra_id_1>
